"device","led","datetime","bits","tempC","rh","sys_tempC"
"alpha","ir",2017-02-02 10:34:11,567,20.6,55.5,39.2
"alpha","ir",2017-02-02 10:34:21,566,20.6,55.5,39.2
"alpha","ir",2017-02-02 10:34:31,563,20.6,55.4,39.2
"alpha","ir",2017-02-02 10:34:41,564,20.6,55.4,38.6
"alpha","ir",2017-02-02 10:34:51,565,20.6,55.4,39.2
"alpha","ir",2017-02-02 10:35:01,567,20.6,55.4,38.6
"alpha","ir",2017-02-02 10:35:11,567,20.6,55.4,38.6
"alpha","ir",2017-02-02 10:35:21,565,20.6,55.4,38.6
"alpha","ir",2017-02-02 10:35:31,564,20.6,55.4,38.6
"alpha","ir",2017-02-02 10:35:41,566,20.6,55.3,38.6
"alpha","ir",2017-02-02 10:35:51,566,20.6,55.3,39.2
"alpha","ir",2017-02-02 10:36:01,564,20.6,55.3,39.2
"alpha","ir",2017-02-02 10:36:11,564,20.6,55.3,38.6
"alpha","ir",2017-02-02 10:36:21,564,20.6,55.3,42.9
"alpha","ir",2017-02-02 10:36:31,564,20.6,55.2,44
"alpha","ir",2017-02-02 10:36:41,564,20.6,55.2,44
"alpha","blue",2017-02-02 10:36:41,455,20.6,55.2,44
"alpha","ir",2017-02-02 10:36:51,564,20.6,55.2,40.8
"alpha","ir",2017-02-02 10:37:01,564,20.6,55.2,39.7
"alpha","ir",2017-02-02 10:37:11,567,20.6,55.2,39.2
"alpha","ir",2017-02-02 10:37:21,566,20.6,55.2,39.7
"alpha","ir",2017-02-02 10:37:31,563,20.6,55.2,39.7
"alpha","ir",2017-02-02 10:37:41,564,20.6,55.2,39.2
"alpha","ir",2017-02-02 10:37:51,568,20.6,55.2,39.2
"alpha","ir",2017-02-02 10:38:01,567,20.6,55.2,39.2
"alpha","ir",2017-02-02 10:38:11,567,20.6,55.2,39.2
"alpha","ir",2017-02-02 10:38:21,563,20.6,55.2,39.2
"alpha","ir",2017-02-02 10:38:31,564,20.6,55.3,38.6
"alpha","ir",2017-02-02 10:38:41,567,20.6,55.3,39.2
"alpha","ir",2017-02-02 10:38:51,568,20.6,55.3,38.6
"alpha","ir",2017-02-02 10:39:01,563,20.6,55.3,38.6
"alpha","ir",2017-02-02 10:39:11,563,20.6,55.4,38.6
"alpha","ir",2017-02-02 10:39:21,566,20.6,55.4,38.6
"alpha","ir",2017-02-02 10:39:31,566,20.6,55.4,39.2
"alpha","ir",2017-02-02 10:39:41,568,20.6,55.4,38.6
"alpha","ir",2017-02-02 10:39:51,564,20.6,55.4,43.5
"alpha","ir",2017-02-02 10:40:01,563,20.6,55.4,42.9
"alpha","blue",2017-02-02 10:40:01,456,20.6,55.4,42.9
"alpha","ir",2017-02-02 10:40:11,567,20.6,55.4,40.2
"alpha","ir",2017-02-02 10:40:21,567,20.6,55.4,39.7
"alpha","ir",2017-02-02 10:40:31,564,20.6,55.4,39.7
"alpha","ir",2017-02-02 10:40:41,564,20.6,55.5,39.2
"alpha","ir",2017-02-02 10:40:51,566,20.6,55.4,39.2
"alpha","ir",2017-02-02 10:41:01,566,20.6,55.5,39.7
"alpha","ir",2017-02-02 10:41:11,567,20.7,55.5,39.7
"alpha","ir",2017-02-02 10:41:21,563,20.6,55.5,39.2
"alpha","ir",2017-02-02 10:41:31,563,20.7,55.4,38.6
"alpha","ir",2017-02-02 10:41:41,567,20.7,55.4,39.2
"alpha","ir",2017-02-02 10:41:51,567,20.7,55.4,39.2
"alpha","ir",2017-02-02 10:42:01,564,20.7,55.4,39.2
"alpha","ir",2017-02-02 10:42:11,563,20.7,55.3,38.6
"alpha","ir",2017-02-02 10:42:21,567,20.7,55.3,38.6
"alpha","ir",2017-02-02 10:42:31,566,20.7,55.3,38.6
"alpha","ir",2017-02-02 10:42:41,565,20.7,55.3,39.2
"alpha","ir",2017-02-02 10:42:51,564,20.7,55.3,39.2
"alpha","ir",2017-02-02 10:43:01,564,20.7,55.3,38.6
"alpha","ir",2017-02-02 10:43:11,565,20.7,55.3,42.4
"alpha","blue",2017-02-02 10:43:11,456,20.7,55.3,42.4
"alpha","ir",2017-02-02 10:43:21,565,20.7,55.3,40.8
"alpha","ir",2017-02-02 10:43:31,564,20.7,55.3,39.7
"alpha","ir",2017-02-02 10:43:41,565,20.7,55.3,39.2
"alpha","ir",2017-02-02 10:43:51,566,20.7,55.3,39.7
"alpha","ir",2017-02-02 10:44:01,567,20.7,55.3,39.2
"alpha","ir",2017-02-02 10:44:11,567,20.7,55.3,39.2
"alpha","ir",2017-02-02 10:44:21,563,20.7,55.2,39.7
